## 1.1.1
## bam0=/bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_5874.Exophiala.xenobiotica.remap.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p
all	None	4,532	100.0%	35,205,422	100.0%	4,012,004	0.5	0.039	154.8	395.7	22,400,114	99.2%
Chaetothyriales	#1f77b4	1,098	100.0%	33,066,111	100.0%	4,012,004	0.51	0.035	212.7	697.5	20,144,348	89.2%
no-hit	#d3d3d3	3,313	100.0%	1,659,603	100.0%	593	0.5	0.04	135.7	225.8	1,905,032	8.4%
Ascomycota-undef	#ff7f0e	19	100.0%	188,707	100.0%	21,263	0.51	0.021	146.3	65.5	123,669	0.5%
Eurotiales	#d62728	44	100.0%	74,089	100.0%	2,842	0.52	0.024	152.2	81.2	70,909	0.3%
Botryosphaeriales	#9467bd	4	100.0%	45,236	100.0%	43,290	0.49	0.007	122.1	20.0	28,559	0.1%
Pezizales	#e377c2	3	100.0%	34,401	100.0%	33,587	0.52	0.0099	146.8	44.1	20,381	0.1%
Hypocreales	#7f7f7f	4	100.0%	31,292	100.0%	21,980	0.5	0.009	181.1	171.1	19,888	0.1%
Helotiales	#bcbd22	11	100.0%	22,751	100.0%	5,019	0.51	0.027	109.1	52.8	16,701	0.1%
other	#ffffff	36	100.0%	83,232	100.0%	5,663	0.52	0.032	168.2	182.5	70,627	0.3%
Xylariales	None	6	100.0%	22,338	100.0%	17,095	0.55	0.032	122.4	78.7	16,737	0.1%
Capnodiales	None	4	100.0%	21,899	100.0%	19,914	0.54	0.028	104.1	68.9	13,379	0.1%
Glomerellales	None	4	100.0%	8,210	100.0%	5,177	0.49	0.013	220.3	57.8	10,121	0.0%
Pleosporales	None	7	100.0%	6,106	100.0%	1,643	0.51	0.013	144.7	73.8	6,718	0.0%
Microascales	None	1	100.0%	5,663	100.0%	5,663	0.5	0.0	93.7	0.0	3,591	0.0%
Phaeomoniellales	None	1	100.0%	4,981	100.0%	4,981	0.49	0.0	93.0	0.0	3,134	0.0%
Saccharomycetales	None	2	100.0%	3,943	100.0%	3,689	0.47	0.022	122.1	2.9	3,325	0.0%
Onygenales	None	2	100.0%	2,815	100.0%	2,417	0.51	0.0039	66.1	7.1	1,356	0.0%
Sordariales	None	2	100.0%	2,699	100.0%	2,372	0.55	0.015	95.6	62.6	2,612	0.0%
Verrucariales	None	2	100.0%	2,024	100.0%	1,498	0.51	0.0075	282.3	74.1	4,354	0.0%
Eukaryota-undef	None	1	100.0%	744	100.0%	744	0.55	0.0	116.0	0.0	584	0.0%
Venturiales	None	1	100.0%	655	100.0%	655	0.46	0.0	156.1	0.0	692	0.0%
Taphrinales	None	1	100.0%	433	100.0%	433	0.51	0.0	1143.6	0.0	3,351	0.0%
Haplosclerida	None	1	100.0%	370	100.0%	370	0.51	0.0	146.2	0.0	366	0.0%
Coniochaetales	None	1	100.0%	352	100.0%	352	0.49	0.0	128.9	0.0	307	0.0%
