## 1.1.1
## bam0=/bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_5882.Exophiala.xenobiotica.remap.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p
all	None	1,992	100.0%	34,709,824	100.0%	4,051,123	0.5	0.046	242.7	269.4	50,526,218	98.6%
Chaetothyriales	#1f77b4	570	100.0%	33,284,762	100.0%	4,051,123	0.51	0.046	298.7	250.5	47,961,971	93.6%
no-hit	#d3d3d3	1,326	100.0%	621,090	100.0%	519	0.5	0.046	211.2	265.5	1,197,857	2.3%
Eurotiales	#ff7f0e	29	100.0%	366,652	100.0%	61,847	0.51	0.021	319.2	156.3	557,007	1.1%
Helotiales	#d62728	8	100.0%	121,768	100.0%	83,592	0.5	0.013	255.0	63.1	185,370	0.4%
Hypocreales	#9467bd	13	100.0%	89,068	100.0%	29,909	0.53	0.037	351.9	206.6	141,371	0.3%
Microascales	#e377c2	5	100.0%	60,670	100.0%	55,696	0.52	0.011	259.2	96.5	91,356	0.2%
Ascomycota-undef	#7f7f7f	9	100.0%	56,490	100.0%	36,962	0.51	0.02	269.0	117.4	86,499	0.2%
Botryosphaeriales	#bcbd22	1	100.0%	26,833	100.0%	26,833	0.52	0.0	267.3	0.0	51,795	0.1%
other	#ffffff	31	100.0%	82,491	100.0%	5,969	0.5	0.041	429.9	550.3	252,992	0.5%
Myriangiales	None	5	100.0%	22,990	100.0%	21,344	0.48	0.016	273.9	104.7	33,037	0.1%
Bacillales	None	3	100.0%	19,565	100.0%	18,494	0.48	0.015	276.8	56.9	29,199	0.1%
Xylariales	None	2	100.0%	7,978	100.0%	5,969	0.53	0.0003	364.3	170.0	16,128	0.0%
Fabales	None	1	100.0%	5,379	100.0%	5,379	0.5	0.0	2980.8	0.0	115,588	0.2%
Hymenoptera	None	1	100.0%	5,183	100.0%	5,183	0.51	0.0	188.2	0.0	6,918	0.0%
Onygenales	None	4	100.0%	4,639	100.0%	2,417	0.49	0.028	263.5	108.5	8,381	0.0%
Pleosporales	None	2	100.0%	4,184	100.0%	3,234	0.52	0.022	266.9	73.0	6,860	0.0%
Erysiphales	None	1	100.0%	3,101	100.0%	3,101	0.51	0.0	435.9	0.0	9,762	0.0%
Eukaryota-undef	None	3	100.0%	2,527	100.0%	1,790	0.47	0.013	339.5	91.7	6,679	0.0%
Glomerellales	None	3	100.0%	1,910	100.0%	579	0.55	0.089	837.4	722.3	10,102	0.0%
Togniniales	None	1	100.0%	1,485	100.0%	1,485	0.54	0.0	184.5	0.0	1,978	0.0%
Phaeomoniellales	None	1	100.0%	1,456	100.0%	1,456	0.51	0.0	366.0	0.0	3,848	0.0%
Orbiliales	None	1	100.0%	771	100.0%	771	0.52	0.0	339.7	0.0	1,891	0.0%
Venturiales	None	1	100.0%	620	100.0%	620	0.47	0.0	323.6	0.0	1,449	0.0%
Rhodospirillales	None	1	100.0%	449	100.0%	449	0.5	0.0	231.3	0.0	750	0.0%
Saccharomycetales	None	1	100.0%	254	100.0%	254	0.45	0.0	230.1	0.0	422	0.0%
