## 1.1.1
## bam0=/bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_5784.Exophiala.sideris.remap.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p
all	None	2,718	100.0%	34,213,677	100.0%	3,980,413	0.5	0.042	179.8	485.0	25,428,172	99.1%
Chaetothyriales	#1f77b4	601	100.0%	32,841,441	100.0%	3,980,413	0.51	0.042	262.5	802.8	23,718,005	92.5%
no-hit	#d3d3d3	2,035	100.0%	1,031,700	100.0%	642	0.5	0.042	155.3	344.7	1,368,882	5.3%
Ascomycota-undef	#ff7f0e	13	100.0%	162,723	100.0%	40,380	0.52	0.036	153.8	61.6	120,723	0.5%
Eurotiales	#d62728	30	100.0%	80,512	100.0%	9,769	0.52	0.026	132.5	67.4	67,561	0.3%
Capnodiales	#9467bd	3	100.0%	29,090	100.0%	28,300	0.56	0.033	140.0	68.6	20,338	0.1%
Helotiales	#e377c2	7	100.0%	21,711	100.0%	11,023	0.5	0.021	132.2	57.6	18,644	0.1%
Verrucariales	#7f7f7f	2	100.0%	9,356	100.0%	8,666	0.48	0.025	174.6	16.6	10,074	0.0%
Xylariales	#bcbd22	9	100.0%	9,093	100.0%	6,252	0.54	0.031	71.9	38.5	5,667	0.0%
other	#ffffff	18	100.0%	28,051	100.0%	3,379	0.51	0.022	372.6	447.9	98,278	0.4%
Glomerellales	None	3	100.0%	8,480	100.0%	6,730	0.5	0.03	235.3	64.1	11,250	0.0%
Pleosporales	None	4	100.0%	5,706	100.0%	3,379	0.51	0.022	198.8	150.5	7,718	0.0%
Fabales	None	1	100.0%	5,212	100.0%	5,212	0.5	0.0	1864.2	0.0	65,202	0.3%
Hypocreales	None	4	100.0%	4,397	100.0%	2,332	0.5	0.012	182.1	115.1	5,037	0.0%
Venturiales	None	1	100.0%	1,570	100.0%	1,570	0.53	0.0	179.9	0.0	1,895	0.0%
Sordariales	None	1	100.0%	960	100.0%	960	0.55	0.0	138.1	0.0	890	0.0%
Pezizales	None	1	100.0%	497	100.0%	497	0.53	0.0	167.3	0.0	558	0.0%
Botryosphaeriales	None	1	100.0%	462	100.0%	462	0.48	0.0	216.4	0.0	671	0.0%
Hemiptera	None	1	100.0%	439	100.0%	439	0.51	0.0	1140.9	0.0	3,361	0.0%
Taphrinales	None	1	100.0%	328	100.0%	328	0.51	0.0	770.5	0.0	1,696	0.0%
