## 1.1.1
## bam0=/bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_5985.Exophiala.xenobiotica.remap.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p
all	None	1,853	100.0%	33,062,153	100.0%	164,459	0.39	0.11	375.0	1156.2	70,692,592	92.6%
Chaetothyriales	#1f77b4	336	100.0%	26,302,394	100.0%	180,960	0.48	0.06	517.7	1186.0	56,760,268	74.3%
Eurotiales	#ff7f0e	30	100.0%	1,506,545	100.0%	236,370	0.45	0.1	460.9	750.4	3,178,746	4.2%
Ascomycota-undef	#d62728	22	100.0%	1,358,767	100.0%	211,583	0.41	0.098	334.2	203.7	2,739,452	3.6%
no-hit	#d3d3d3	1,287	100.0%	787,093	100.0%	947	0.36	0.11	327.2	1129.2	1,983,092	2.6%
Helotiales	#9467bd	50	100.0%	649,987	100.0%	24,417	0.34	0.069	403.4	1325.9	1,133,366	1.5%
Eukaryota-undef	#e377c2	30	100.0%	619,642	100.0%	42,211	0.37	0.063	242.5	63.5	1,150,532	1.5%
Verrucariales	#7f7f7f	11	100.0%	292,376	100.0%	64,653	0.45	0.066	339.5	121.9	589,935	0.8%
Hypocreales	#bcbd22	15	100.0%	277,990	100.0%	48,527	0.49	0.063	625.4	674.4	610,270	0.8%
other	#ffffff	72	100.0%	1,267,359	100.0%	47,919	0.41	0.12	529.5	1816.2	2,546,931	3.3%
Capnodiales	None	4	100.0%	267,327	100.0%	237,229	0.47	0.071	247.5	63.6	554,256	0.7%
Myriangiales	None	12	100.0%	224,544	100.0%	168,898	0.35	0.089	275.4	225.2	473,378	0.6%
Xylariales	None	9	100.0%	180,082	100.0%	51,499	0.41	0.081	237.2	90.1	330,425	0.4%
Botryosphaeriales	None	3	100.0%	141,572	100.0%	97,823	0.46	0.0069	294.6	4.4	284,812	0.4%
Glomerellales	None	7	100.0%	138,638	100.0%	44,841	0.37	0.052	208.4	54.5	245,550	0.3%
Onygenales	None	14	100.0%	102,758	100.0%	8,905	0.32	0.074	192.6	182.6	111,818	0.1%
Pleosporales	None	5	100.0%	91,867	100.0%	25,146	0.41	0.081	247.3	73.0	181,688	0.2%
Phaeomoniellales	None	1	100.0%	47,919	100.0%	47,919	0.51	0.0	305.8	0.0	100,848	0.1%
undef	None	1	100.0%	42,316	100.0%	42,316	0.48	0.0	305.1	0.0	88,830	0.1%
Venturiales	None	1	100.0%	16,350	100.0%	16,350	0.51	0.0	321.1	0.0	36,129	0.0%
Sordariales	None	1	100.0%	7,071	100.0%	7,071	0.29	0.0	180.3	0.0	8,771	0.0%
Glomerales	None	1	100.0%	2,084	100.0%	2,084	0.31	0.0	1584.1	0.0	22,718	0.0%
Sphingomonadales	None	6	100.0%	1,914	100.0%	280	0.65	0.025	6.0	0.8	83	0.0%
Rickettsiales	None	2	100.0%	1,316	100.0%	949	0.28	0.0081	11085.6	1514.4	106,456	0.1%
Pseudomonadales	None	2	100.0%	472	100.0%	238	0.6	0.014	4.3	0.0	14	0.0%
Clostridiales	None	1	100.0%	444	100.0%	444	0.57	0.0	31.7	0.0	97	0.0%
Rhabditida	None	1	100.0%	362	100.0%	362	0.65	0.0	6.4	0.0	16	0.0%
Dothideales	None	1	100.0%	323	100.0%	323	0.49	0.0	468.8	0.0	1,042	0.0%
