## 1.1.1
## bam0=/bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_5819.Exophiala.xenobiotica.remap.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p
Chitinophagales	None	3	100.0%	829	100.0%	274	0.41	0.058	1.4	0.5	8	0.0%
Fusobacteriales	None	3	100.0%	763	100.0%	250	0.33	0.033	2.0	1.1	10	0.0%
Flavobacteriales	None	3	100.0%	745	100.0%	241	0.35	0.032	1.2	0.1	6	0.0%
Mucorales	None	2	100.0%	623	100.0%	338	0.51	0.014	81.7	80.1	374	0.0%
Acidobacteria-undef	None	2	100.0%	569	100.0%	301	0.67	0.025	2.0	0.9	8	0.0%
Diaporthales	None	1	100.0%	553	100.0%	553	0.51	0.0	93.3	0.0	350	0.0%
Planctomycetes-undef	None	2	100.0%	542	100.0%	272	0.64	0.033	1.1	0.0	4	0.0%
Aeromonadales	None	2	100.0%	540	100.0%	271	0.48	0.085	1.1	0.0	4	0.0%
Geodermatophilales	None	2	100.0%	530	100.0%	286	0.66	0.074	1.4	0.2	5	0.0%
Phycisphaerales	None	2	100.0%	522	100.0%	272	0.69	0.0004	1.7	0.6	6	0.0%
Acholeplasmatales	None	2	100.0%	522	100.0%	268	0.39	0.14	1.1	0.0	4	0.0%
Spirochaetales	None	2	100.0%	497	100.0%	250	0.5	0.11	1.2	0.0	4	0.0%
Trichinellida	None	2	100.0%	490	100.0%	259	0.6	0.06	1.5	0.2	5	0.0%
Neisseriales	None	2	100.0%	486	100.0%	257	0.48	0.05	1.2	0.1	4	0.0%
Planctomycetales	None	2	100.0%	485	100.0%	254	0.67	0.011	1.9	0.7	6	0.0%
Victivallales	None	2	100.0%	483	100.0%	246	0.63	0.047	1.2	0.0	4	0.0%
Selenomonadales	None	2	100.0%	479	100.0%	246	0.39	0.061	1.2	0.0	4	0.0%
Tissierellales	None	2	100.0%	474	100.0%	245	0.5	0.17	1.2	0.0	4	0.0%
Myriangiales	None	2	100.0%	406	100.0%	203	0.51	0.047	8.0	0.0	22	0.0%
Egibacterales	None	1	100.0%	399	100.0%	399	0.72	0.0	1.8	0.0	5	0.0%
Gemmatimonadales	None	1	100.0%	295	100.0%	295	0.67	0.0	2.0	0.0	4	0.0%
Rhabditida	None	1	100.0%	278	100.0%	278	0.6	0.0	1.1	0.0	2	0.0%
Blastocatellales	None	1	100.0%	277	100.0%	277	0.61	0.0	1.6	0.0	3	0.0%
Halanaerobiales	None	1	100.0%	277	100.0%	277	0.49	0.0	1.1	0.0	2	0.0%
Bacteroidetes-undef	None	1	100.0%	270	100.0%	270	0.41	0.0	2.2	0.0	4	0.0%
Pseudonocardiales	None	1	100.0%	269	100.0%	269	0.72	0.0	1.1	0.0	2	0.0%
Ustilaginales	None	1	100.0%	269	100.0%	269	0.35	0.0	1.1	0.0	2	0.0%
Magnaporthales	None	1	100.0%	268	100.0%	268	0.53	0.0	1.1	0.0	2	0.0%
Microascales	None	1	100.0%	268	100.0%	268	0.54	0.0	1.1	0.0	2	0.0%
Thermoanaerobacterales	None	1	100.0%	264	100.0%	264	0.63	0.0	1.1	0.0	2	0.0%
Candidatus Borkfalkiales	None	1	100.0%	263	100.0%	263	0.55	0.0	1.1	0.0	2	0.0%
Dacrymycetales	None	1	100.0%	259	100.0%	259	0.46	0.0	1.7	0.0	3	0.0%
Micromonosporales	None	1	100.0%	257	100.0%	257	0.68	0.0	1.1	0.0	2	0.0%
Fagales	None	1	100.0%	254	100.0%	254	0.41	0.0	1.2	0.0	2	0.0%
Orectolobiformes	None	1	100.0%	252	100.0%	252	0.62	0.0	1.2	0.0	2	0.0%
Xylonales	None	1	100.0%	251	100.0%	251	0.53	0.0	1.2	0.0	2	0.0%
Zoopagales	None	1	100.0%	250	100.0%	250	0.67	0.0	1.2	0.0	2	0.0%
Cetacea	None	1	100.0%	250	100.0%	250	0.49	0.0	1.2	0.0	2	0.0%
Balneolales	None	1	100.0%	247	100.0%	247	0.6	0.0	1.2	0.0	2	0.0%
Vibrionales	None	1	100.0%	243	100.0%	243	0.38	0.0	1.2	0.0	2	0.0%
Synergistales	None	1	100.0%	243	100.0%	243	0.52	0.0	1.2	0.0	2	0.0%
Glomerales	None	1	100.0%	240	100.0%	240	0.56	0.0	3.1	0.0	5	0.0%
Mycoplasmatales	None	1	100.0%	238	100.0%	238	0.35	0.0	1.2	0.0	2	0.0%
Sphingobacteriales	None	1	100.0%	238	100.0%	238	0.46	0.0	1.2	0.0	2	0.0%
Legionellales	None	1	100.0%	237	100.0%	237	0.49	0.0	1.2	0.0	2	0.0%
Lamiales	None	1	100.0%	237	100.0%	237	0.34	0.0	1.2	0.0	2	0.0%
Elusimicrobiales	None	1	100.0%	236	100.0%	236	0.61	0.0	1.2	0.0	2	0.0%
Nevskiales	None	1	100.0%	232	100.0%	232	0.63	0.0	1.3	0.0	2	0.0%
