## 1.1.1
## bam0=/bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_5819.Exophiala.xenobiotica.remap.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p
all	None	35,901	100.0%	44,407,115	100.0%	3,253,368	0.51	0.067	63.8	134.5	38,853,753	98.2%
Chaetothyriales	#1f77b4	10,564	100.0%	34,659,091	100.0%	3,362,401	0.53	0.034	113.7	187.1	34,173,214	86.3%
no-hit	#d3d3d3	19,554	100.0%	7,443,278	100.0%	391	0.5	0.068	53.7	107.1	4,071,534	10.3%
Ascomycota-undef	#ff7f0e	134	100.0%	461,944	100.0%	65,248	0.51	0.047	64.0	155.5	299,283	0.8%
Clostridiales	#d62728	1,657	100.0%	440,746	100.0%	259	0.48	0.099	1.4	0.7	4,320	0.0%
Bacteroidales	#9467bd	945	100.0%	248,650	100.0%	259	0.48	0.071	1.3	0.4	2,235	0.0%
Helotiales	#e377c2	443	100.0%	183,662	100.0%	363	0.48	0.055	11.4	36.2	36,695	0.1%
Eurotiales	#7f7f7f	82	100.0%	132,019	100.0%	5,415	0.51	0.053	103.9	168.1	101,603	0.3%
Hypocreales	#bcbd22	268	100.0%	102,104	100.0%	273	0.53	0.052	10.2	36.1	30,724	0.1%
other	#ffffff	2,254	100.0%	735,621	100.0%	267	0.57	0.091	5.1	22.6	134,145	0.3%
Propionibacteriales	None	296	100.0%	84,808	100.0%	268	0.61	0.039	1.5	0.5	848	0.0%
Capnodiales	None	278	100.0%	80,069	100.0%	259	0.57	0.049	5.9	24.9	10,960	0.0%
Pleosporales	None	91	100.0%	47,614	100.0%	839	0.54	0.048	14.1	37.6	17,625	0.0%
Bifidobacteriales	None	164	100.0%	43,536	100.0%	260	0.62	0.05	1.4	0.3	403	0.0%
Coriobacteriales	None	137	100.0%	36,898	100.0%	259	0.62	0.042	1.3	0.4	340	0.0%
Firmicutes-undef	None	140	100.0%	36,330	100.0%	256	0.55	0.099	1.2	0.2	306	0.0%
Enterobacterales	None	137	100.0%	35,031	100.0%	256	0.58	0.057	1.3	0.3	300	0.0%
Botryosphaeriales	None	11	100.0%	24,168	100.0%	12,296	0.51	0.058	59.1	54.5	10,362	0.0%
Xylariales	None	12	100.0%	24,034	100.0%	4,355	0.52	0.028	75.4	70.5	20,346	0.1%
undef	None	67	100.0%	21,438	100.0%	271	0.51	0.064	4.1	19.9	2,525	0.0%
Lactobacillales	None	71	100.0%	18,259	100.0%	254	0.43	0.048	1.3	0.4	163	0.0%
Pseudomonadales	None	71	100.0%	18,246	100.0%	259	0.58	0.098	1.3	0.3	157	0.0%
Venturiales	None	5	100.0%	17,628	100.0%	13,344	0.52	0.025	148.6	61.9	24,698	0.1%
Sphingomonadales	None	65	100.0%	17,271	100.0%	263	0.66	0.037	1.3	0.4	156	0.0%
Rhizobiales	None	64	100.0%	16,322	100.0%	255	0.64	0.064	1.3	0.4	143	0.0%
Erysipelotrichales	None	56	100.0%	14,694	100.0%	258	0.36	0.078	1.3	0.3	130	0.0%
Burkholderiales	None	55	100.0%	14,127	100.0%	260	0.64	0.062	1.2	0.2	116	0.0%
Eggerthellales	None	50	100.0%	12,823	100.0%	256	0.62	0.062	1.2	0.3	108	0.0%
Eukaryota-undef	None	2	100.0%	10,789	100.0%	6,642	0.51	0.03	181.8	32.2	13,850	0.0%
Verrucariales	None	4	100.0%	8,772	100.0%	2,169	0.52	0.026	82.0	50.0	5,449	0.0%
Verrucomicrobiales	None	33	100.0%	8,487	100.0%	250	0.58	0.046	1.2	0.2	72	0.0%
Onygenales	None	5	100.0%	7,895	100.0%	6,340	0.5	0.039	91.0	69.2	4,613	0.0%
Saccharomycetales	None	27	100.0%	7,788	100.0%	257	0.47	0.053	12.7	40.3	1,704	0.0%
Micrococcales	None	28	100.0%	7,606	100.0%	263	0.66	0.079	1.3	0.4	69	0.0%
Corynebacteriales	None	25	100.0%	6,488	100.0%	260	0.61	0.065	1.3	0.4	59	0.0%
Sordariales	None	5	100.0%	6,289	100.0%	3,215	0.47	0.042	49.9	88.9	5,081	0.0%
Malasseziales	None	23	100.0%	5,878	100.0%	259	0.55	0.063	1.2	0.3	48	0.0%
Pezizales	None	3	100.0%	5,030	100.0%	3,830	0.54	0.011	138.0	7.4	4,935	0.0%
Desulfovibrionales	None	18	100.0%	4,745	100.0%	263	0.61	0.037	1.2	0.3	40	0.0%
Rhodobacterales	None	18	100.0%	4,630	100.0%	258	0.62	0.11	1.3	0.3	40	0.0%
Veillonellales	None	18	100.0%	4,556	100.0%	254	0.51	0.047	1.2	0.2	38	0.0%
Caulobacterales	None	17	100.0%	4,408	100.0%	255	0.69	0.042	1.6	0.6	47	0.0%
Actinomycetales	None	17	100.0%	4,302	100.0%	252	0.67	0.052	1.2	0.2	36	0.0%
Cytophagales	None	16	100.0%	4,157	100.0%	256	0.6	0.07	1.3	0.3	35	0.0%
Rhodospirillales	None	15	100.0%	3,853	100.0%	256	0.58	0.11	1.3	0.3	34	0.0%
Methanobacteriales	None	14	100.0%	3,780	100.0%	261	0.34	0.049	1.2	0.1	31	0.0%
Phaeomoniellales	None	3	100.0%	3,644	100.0%	2,828	0.54	0.029	105.4	43.9	2,807	0.0%
Glomerellales	None	7	100.0%	3,578	100.0%	506	0.49	0.043	25.6	56.4	594	0.0%
Mortierellales	None	13	100.0%	3,432	100.0%	263	0.54	0.028	1.2	0.3	29	0.0%
Acidaminococcales	None	13	100.0%	3,280	100.0%	241	0.51	0.075	1.2	0.1	27	0.0%
Erysiphales	None	6	100.0%	3,104	100.0%	686	0.48	0.011	4.3	1.3	104	0.0%
Bacillales	None	12	100.0%	3,067	100.0%	259	0.38	0.12	1.3	0.3	26	0.0%
Bacteria-undef	None	11	100.0%	2,950	100.0%	263	0.53	0.14	1.2	0.2	25	0.0%
Rickettsiales	None	2	100.0%	2,377	100.0%	2,105	0.33	0.024	4.0	2.9	100	0.0%
Caudovirales	None	8	100.0%	2,041	100.0%	253	0.51	0.058	1.2	0.1	16	0.0%
Dothideales	None	5	100.0%	2,038	100.0%	501	0.53	0.03	69.2	66.9	1,264	0.0%
Cypriniformes	None	1	100.0%	2,018	100.0%	2,018	0.5	0.0	77.3	0.0	1,058	0.0%
Taphrinales	None	7	100.0%	1,979	100.0%	266	0.51	0.028	1.2	0.1	16	0.0%
Pasteurellales	None	7	100.0%	1,714	100.0%	241	0.46	0.046	1.2	0.1	14	0.0%
Alteromonadales	None	6	100.0%	1,709	100.0%	263	0.59	0.04	1.7	0.8	21	0.0%
Coniochaetales	None	6	100.0%	1,567	100.0%	273	0.59	0.033	7.0	13.1	80	0.0%
Oceanospirillales	None	6	100.0%	1,531	100.0%	257	0.63	0.064	1.2	0.2	13	0.0%
Proteobacteria-undef	None	5	100.0%	1,292	100.0%	258	0.58	0.065	1.3	0.2	11	0.0%
Xanthomonadales	None	5	100.0%	1,264	100.0%	249	0.68	0.02	1.2	0.0	10	0.0%
Polyporales	None	2	100.0%	1,206	100.0%	778	0.52	0.0005	140.7	4.3	1,141	0.0%
Streptomycetales	None	2	100.0%	982	100.0%	713	0.55	0.045	2.4	1.3	20	0.0%
