## 1.1.1
## bam0=/bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_5801.Exophiala.xenobiotica.remap.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p
all	None	3,958	100.0%	35,149,782	100.0%	4,014,251	0.5	0.042	200.2	288.1	28,772,408	99.2%
Chaetothyriales	#1f77b4	1,021	100.0%	33,162,818	100.0%	4,014,251	0.51	0.038	246.0	421.8	25,979,701	89.6%
no-hit	#d3d3d3	2,824	100.0%	1,473,210	100.0%	646	0.5	0.043	183.0	223.0	2,278,043	7.9%
Ascomycota-undef	#ff7f0e	18	100.0%	196,936	100.0%	19,774	0.51	0.015	183.5	83.1	168,258	0.6%
Eurotiales	#d62728	41	100.0%	114,085	100.0%	6,365	0.51	0.035	204.0	118.3	130,325	0.4%
Botryosphaeriales	#9467bd	5	100.0%	45,522	100.0%	43,289	0.5	0.014	208.3	56.8	43,549	0.2%
Pezizales	#e377c2	2	100.0%	35,159	100.0%	34,662	0.52	0.0081	208.5	87.7	29,108	0.1%
Helotiales	#7f7f7f	11	100.0%	32,691	100.0%	7,161	0.5	0.02	257.8	321.8	34,663	0.1%
Hypocreales	#bcbd22	3	100.0%	32,435	100.0%	25,529	0.51	0.011	352.0	394.6	22,149	0.1%
other	#ffffff	33	100.0%	56,926	100.0%	4,951	0.52	0.036	231.7	169.7	86,612	0.3%
Capnodiales	None	4	100.0%	21,970	100.0%	20,413	0.54	0.041	134.8	87.4	17,628	0.1%
Pleosporales	None	8	100.0%	5,912	100.0%	695	0.52	0.022	204.7	91.3	8,008	0.0%
Microascales	None	1	100.0%	5,499	100.0%	5,499	0.49	0.0	117.5	0.0	4,338	0.0%
Sporadotrichida	None	1	100.0%	4,951	100.0%	4,951	0.49	0.0	748.1	0.0	24,323	0.1%
Xylariales	None	5	100.0%	4,293	100.0%	3,069	0.56	0.018	126.0	67.8	5,012	0.0%
Glomerellales	None	3	100.0%	4,210	100.0%	2,765	0.47	0.018	315.8	62.3	9,789	0.0%
Saccharomycetales	None	1	100.0%	3,038	100.0%	3,038	0.5	0.0	106.1	0.0	2,165	0.0%
Eukaryota-undef	None	3	100.0%	2,453	100.0%	805	0.53	0.029	250.4	30.1	4,279	0.0%
Onygenales	None	2	100.0%	1,552	100.0%	1,154	0.5	0.015	180.7	104.0	2,411	0.0%
Sordariales	None	1	100.0%	902	100.0%	902	0.48	0.0	810.3	0.0	4,909	0.0%
Venturiales	None	1	100.0%	655	100.0%	655	0.46	0.0	219.8	0.0	967	0.0%
Verrucariales	None	1	100.0%	613	100.0%	613	0.5	0.0	410.5	0.0	1,690	0.0%
Polyporales	None	1	100.0%	526	100.0%	526	0.5	0.0	191.9	0.0	678	0.0%
Coniochaetales	None	1	100.0%	352	100.0%	352	0.49	0.0	175.5	0.0	415	0.0%
