## 1.1.1
## bam0=/bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_6182.Exophiala.xenobiotica.remap.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p
all	None	4,525	100.0%	49,780,216	100.0%	2,089,881	0.5	0.04	115.5	139.7	32,361,586	90.1%
Chaetothyriales	#1f77b4	1,046	100.0%	25,462,839	100.0%	4,704,318	0.51	0.034	121.5	80.3	12,462,068	34.7%
Mixiales	#ff7f0e	19	100.0%	5,973,330	100.0%	548,307	0.51	0.0063	151.6	114.7	4,697,209	13.1%
Sporidiobolales	#d62728	12	100.0%	4,739,815	100.0%	601,218	0.51	0.0048	111.8	1.7	3,740,457	10.4%
Leucosporidiales	#9467bd	12	100.0%	4,332,221	100.0%	575,136	0.5	0.0073	115.2	14.6	3,410,449	9.5%
Microbotryales	#e377c2	5	100.0%	3,332,445	100.0%	2,089,881	0.51	0.0085	169.6	114.5	2,619,245	7.3%
Pucciniales	#7f7f7f	9	100.0%	3,299,159	100.0%	1,706,562	0.49	0.053	268.3	441.7	2,608,389	7.3%
no-hit	#d3d3d3	3,293	100.0%	1,743,029	100.0%	651	0.5	0.041	109.9	144.2	1,738,664	4.8%
Ascomycota-undef	#bcbd22	21	100.0%	217,501	100.0%	25,860	0.5	0.023	212.5	393.7	183,252	0.5%
other	#ffffff	108	100.0%	679,877	100.0%	33,043	0.51	0.038	186.7	247.8	901,853	2.5%
Saccharomycetales	None	2	100.0%	209,584	100.0%	206,624	0.5	0.0018	87.9	24.5	165,006	0.5%
Eurotiales	None	43	100.0%	113,081	100.0%	4,988	0.52	0.024	162.9	169.4	104,424	0.3%
Botryosphaeriales	None	4	100.0%	47,816	100.0%	45,640	0.5	0.0066	115.4	38.7	24,299	0.1%
Atheliales	None	1	100.0%	46,333	100.0%	46,333	0.5	0.0	109.6	0.0	35,802	0.1%
Helotiales	None	15	100.0%	44,423	100.0%	7,728	0.5	0.063	177.5	170.2	47,289	0.1%
Pezizales	None	2	100.0%	34,727	100.0%	33,613	0.51	0.0041	129.9	58.2	18,476	0.1%
Ustilaginales	None	1	100.0%	30,659	100.0%	30,659	0.4	0.0	1089.2	0.0	235,422	0.7%
Tremellales	None	1	100.0%	25,179	100.0%	25,179	0.51	0.0	112.6	0.0	19,915	0.1%
Hypocreales	None	3	100.0%	25,017	100.0%	23,126	0.5	0.015	215.9	130.1	15,862	0.0%
Capnodiales	None	2	100.0%	21,132	100.0%	20,582	0.5	0.025	115.3	41.7	11,289	0.0%
Hymenochaetales	None	1	100.0%	17,896	100.0%	17,896	0.51	0.0	112.7	0.0	14,221	0.0%
Polyporales	None	2	100.0%	9,123	100.0%	6,028	0.5	0.0092	673.3	464.6	52,004	0.1%
Poales	None	1	100.0%	8,344	100.0%	8,344	0.39	0.0	1820.2	0.0	105,868	0.3%
Pleosporales	None	5	100.0%	7,045	100.0%	2,046	0.51	0.021	94.8	42.5	3,798	0.0%
Microascales	None	1	100.0%	5,499	100.0%	5,499	0.49	0.0	75.2	0.0	2,915	0.0%
Gloeophyllales	None	3	100.0%	5,438	100.0%	3,485	0.5	0.0051	212.0	103.4	8,915	0.0%
Phaeomoniellales	None	1	100.0%	5,243	100.0%	5,243	0.49	0.0	77.9	0.0	2,881	0.0%
Glomerellales	None	1	100.0%	4,850	100.0%	4,850	0.49	0.0	231.8	0.0	7,604	0.0%
Xylariales	None	5	100.0%	4,371	100.0%	3,147	0.56	0.018	79.7	40.8	3,530	0.0%
Auriculariales	None	1	100.0%	4,334	100.0%	4,334	0.5	0.0	299.8	0.0	9,159	0.0%
Hymenoptera	None	1	100.0%	3,067	100.0%	3,067	0.47	0.0	205.3	0.0	4,439	0.0%
Eukaryota-undef	None	2	100.0%	1,995	100.0%	1,232	0.53	0.027	177.8	6.2	2,521	0.0%
Onygenales	None	2	100.0%	1,013	100.0%	615	0.52	0.0055	116.3	49.3	906	0.0%
Sordariales	None	1	100.0%	795	100.0%	795	0.49	0.0	438.0	0.0	2,455	0.0%
Russulales	None	1	100.0%	701	100.0%	701	0.48	0.0	346.8	0.0	1,714	0.0%
Venturiales	None	1	100.0%	655	100.0%	655	0.46	0.0	113.9	0.0	526	0.0%
Haplosclerida	None	1	100.0%	370	100.0%	370	0.51	0.0	126.1	0.0	329	0.0%
Coniochaetales	None	1	100.0%	352	100.0%	352	0.49	0.0	86.2	0.0	214	0.0%
Clostridiales	None	1	100.0%	343	100.0%	343	0.55	0.0	24.4	0.0	59	0.0%
Bacteroidales	None	1	100.0%	253	100.0%	253	0.55	0.0	2.8	0.0	5	0.0%
Pseudomonadales	None	1	100.0%	239	100.0%	239	0.41	0.0	3.6	0.0	6	0.0%
